#{"t_start": 1771702813.3740616, "env_id": "None"}
r,l,t,is_success,distance
-25.026005,100,12.88582,0.0,0.31559258699417114
-29.601796,100,24.505506,0.0,0.31176191568374634
-31.132698,100,37.300949,0.0,0.4339939057826996
-27.757293,100,51.826696,0.0,0.3199339807033539
-25.883723,100,63.78144,0.0,0.2711257338523865
-27.383033,100,77.047867,0.0,0.28011050820350647
-30.424545,100,90.040272,0.0,0.3197645843029022
-25.946339,100,101.67667,0.0,0.27865681052207947
-25.765995,100,114.875072,0.0,0.2900051772594452
-23.006995,100,127.826522,0.0,0.21753759682178497
