#{"t_start": 1772142410.6686656, "env_id": "None"}
r,l,t,is_success,distance
-12.321486,100,806.141212,0.0,0.08015932142734528
-12.894286,100,822.117165,0.0,0.09746573865413666
-15.378277,100,836.850228,0.0,0.060072384774684906
-19.535537,100,851.921974,0.0,0.164500892162323
-15.021476,99,867.665259,1.0,0.05739815905690193
-10.343027,71,879.009514,1.0,0.05956603214144707
-10.729109,84,892.394837,1.0,0.05899282917380333
-11.378248,85,905.693109,1.0,0.05939386785030365
-14.876303,94,919.510373,1.0,0.058720458298921585
-12.045448,100,934.746753,0.0,0.07320547103881836
-15.1257,97,949.270648,1.0,0.05991426482796669
-13.716308,98,964.105565,1.0,0.05824171379208565
-9.935153,72,975.429844,1.0,0.059464599937200546
-11.451378,85,988.592264,1.0,0.05430034548044205
-17.3359,100,1003.260894,0.0,0.071326345205307
-11.513284,78,1015.355288,1.0,0.058092765510082245
-9.56808,70,1026.19741,1.0,0.05830060690641403
-18.336462,100,1040.524776,0.0,0.10295289754867554
-16.941493,100,1055.359413,0.0,0.06800054758787155
-21.089313,100,1069.977702,0.0,0.16209419071674347
-17.016702,100,1084.277494,0.0,0.17054882645606995
-17.609704,100,1098.109884,0.0,0.17523665726184845
-18.07128,100,1111.436678,0.0,0.18080084025859833
-15.63038,100,1126.881461,0.0,0.10804715007543564
-12.581293,82,1139.673708,1.0,0.059604983776807785
-12.223303,86,1152.876517,1.0,0.05598399043083191
-10.560154,71,1164.957048,1.0,0.05808243900537491
-15.516007,100,1181.226165,0.0,0.0779268890619278
-9.204543,69,1193.52116,1.0,0.057135723531246185
-13.816227,100,1209.961113,0.0,0.10319581627845764
-12.28167,83,1223.941523,1.0,0.05743217095732689
-10.888288,74,1236.599762,1.0,0.05970664694905281
-12.524445,94,1252.230682,1.0,0.05994871258735657
-2.338516,21,1258.077527,1.0,0.05973967909812927
-10.160085,75,1270.751345,1.0,0.05976894870400429
-19.361034,100,1286.918143,0.0,0.11448915302753448
-17.139537,100,1302.952499,0.0,0.09161394089460373
-12.921881,92,1318.047058,1.0,0.05930709466338158
-8.461727,61,1329.285013,1.0,0.058872517198324203
-14.896549,100,1346.294785,0.0,0.11479248106479645
-15.087452,95,1362.188843,1.0,0.05816751718521118
-8.992742,68,1375.071535,1.0,0.05693706125020981
-18.142937,100,1392.507079,0.0,0.10540320724248886
-12.35612,81,1406.820296,1.0,0.05999910831451416
-10.718511,73,1419.90396,1.0,0.05663536489009857
-18.69891,100,1437.800345,0.0,0.13776390254497528
-16.820634,100,1455.52009,1.0,0.05777698755264282
-16.831961,100,1472.917767,0.0,0.06007326394319534
-12.33018,77,1486.5286,1.0,0.05797947570681572
-15.689799,99,1503.417018,1.0,0.05715389922261238
-12.902824,88,1518.640235,1.0,0.05715486407279968
-11.252014,79,1532.673942,1.0,0.05994829908013344
-11.490319,92,1548.362844,1.0,0.05938081815838814
-8.511384,65,1560.659423,1.0,0.056004274636507034
-15.520011,99,1577.251133,1.0,0.058554816991090775
-19.425568,100,1593.857758,0.0,0.08782877027988434
