#{"t_start": 1771710939.876431, "env_id": "None"}
r,l,t,is_success,distance
-28.141296,100,38.959966,0.0,0.37646540999412537
-44.688977,100,77.209548,0.0,0.5595319271087646
-42.597033,100,116.351787,0.0,0.5485092997550964
-24.205786,100,155.313973,0.0,0.25898420810699463
-27.607098,100,193.886987,0.0,0.30385881662368774
-32.513628,100,231.569932,0.0,0.3574126064777374
-37.946173,100,267.936339,0.0,0.36449843645095825
-25.665007,100,305.926909,0.0,0.3218771815299988
-24.688118,100,344.577516,0.0,0.2490656077861786
-28.052514,100,382.830264,0.0,0.2571278512477875
-26.365507,100,421.199751,0.0,0.2680651545524597
-22.215756,100,459.579236,0.0,0.22433896362781525
-23.21678,100,497.724702,0.0,0.13878479599952698
-18.399837,100,535.383452,0.0,0.2929874062538147
-14.341188,100,574.12345,0.0,0.1121663749217987
-22.909061,100,612.682091,0.0,0.2425304502248764
-24.32806,100,649.759909,0.0,0.3061378598213196
-21.92119,100,688.330846,0.0,0.2563256621360779
-21.355472,100,727.046636,0.0,0.26967382431030273
-23.22796,100,765.992953,0.0,0.26090648770332336
-23.651257,100,805.084307,0.0,0.25983771681785583
-18.194158,100,843.864995,0.0,0.2006271481513977
-16.343638,100,882.752222,0.0,0.15468935668468475
-16.825423,100,921.099333,0.0,0.16062496602535248
-7.158926,50,941.979839,1.0,0.05760854482650757
-19.115176,100,979.920775,0.0,0.2292461395263672
-13.324147,87,1013.8209,1.0,0.05643564462661743
-21.270563,100,1051.697732,0.0,0.11823847144842148
-13.802919,100,1089.180635,0.0,0.12139353901147842
-17.409542,100,1127.494289,0.0,0.14168576896190643
-13.649646,100,1165.774104,0.0,0.1261933296918869
-11.754226,100,1202.266755,0.0,0.16128289699554443
-20.740362,100,1240.695521,0.0,0.1395350694656372
-15.055123,100,1279.168128,0.0,0.14876092970371246
-17.828821,100,1317.833244,0.0,0.17256903648376465
-18.202714,100,1355.324117,0.0,0.2529313266277313
-15.70506,100,1394.09919,0.0,0.19978609681129456
-17.417453,100,1432.452965,0.0,0.26154348254203796
-20.654742,100,1471.560123,0.0,0.15464043617248535
-13.800935,100,1509.375856,0.0,0.1012677326798439
-14.386365,100,1547.589013,0.0,0.20338968932628632
-13.296588,100,1584.373648,0.0,0.126460000872612
-16.365948,100,1622.155837,0.0,0.21786904335021973
-16.21195,100,1661.157472,0.0,0.12743565440177917
-19.236088,100,1699.444854,0.0,0.3171981871128082
-17.531451,100,1738.354954,0.0,0.2815110981464386
-21.600648,100,1777.296769,0.0,0.32009708881378174
-24.832557,100,1816.285425,0.0,0.3017024099826813
-15.031234,100,1854.922506,0.0,0.13912101089954376
-19.393937,100,1893.199324,0.0,0.18485170602798462
-15.151401,100,1930.942882,0.0,0.25080934166908264
-21.856557,100,1970.054501,0.0,0.15398401021957397
-22.151568,100,2007.828446,0.0,0.30588942766189575
-20.009991,100,2046.876429,0.0,0.3226136565208435
-16.375822,100,2085.996011,0.0,0.25174301862716675
-14.596484,100,2124.599127,0.0,0.15058284997940063
-20.359219,100,2163.050299,0.0,0.3035970628261566
-22.781156,100,2201.613458,0.0,0.34274232387542725
-16.700881,100,2240.491432,0.0,0.21028931438922882
-22.40645,100,2278.706653,0.0,0.276417076587677
-19.907313,100,2314.208637,0.0,0.2792171537876129
-17.168579,100,2352.728973,0.0,0.24422240257263184
-20.039154,100,2390.769958,0.0,0.25768253207206726
-25.438207,100,2426.857666,0.0,0.1442251205444336
-19.477255,100,2462.959,0.0,0.3002156615257263
-16.528071,100,2501.384822,0.0,0.2795707583427429
-16.051084,100,2539.839657,0.0,0.27692508697509766
-20.095453,100,2578.598684,0.0,0.3084212839603424
-17.006073,100,2617.108864,0.0,0.24973587691783905
-25.242899,100,2654.050081,0.0,0.31653687357902527
-13.856032,100,2692.72062,0.0,0.12602359056472778
-18.207032,100,2729.159701,0.0,0.12068142741918564
-21.918218,100,2766.102702,0.0,0.3276999890804291
-19.484554,100,2804.932442,0.0,0.2869974374771118
-19.200064,100,2843.158044,0.0,0.3026640713214874
-16.606208,100,2881.72839,0.0,0.14821374416351318
-17.014361,100,2919.914844,0.0,0.18077322840690613
-24.835113,100,2955.982235,0.0,0.303771048784256
-22.591717,100,2994.592283,0.0,0.33785519003868103
-26.127408,100,3031.113493,0.0,0.26934322714805603
-15.651336,100,3069.405208,0.0,0.15543654561042786
-24.557653,100,3105.386541,0.0,0.2898330092430115
-21.463553,100,3141.908298,0.0,0.2157720923423767
-16.687857,100,3177.814012,0.0,0.21031081676483154
-24.765716,100,3213.676994,0.0,0.28323349356651306
-9.59828,100,3249.927001,0.0,0.0827789232134819
-8.55036,100,3287.581388,0.0,0.09216642379760742
-15.997391,100,3326.092554,0.0,0.2641606330871582
-2.068947,32,3338.411113,1.0,0.059583406895399094
-91.603413,100,3378.510682,0.0,0.8483170866966248
-93.320218,100,3415.897291,0.0,0.8445422649383545
-99.071841,100,3453.443287,0.0,1.010609745979309
