#{"t_start": 1771655849.2696397, "env_id": "None"}
r,l,t,is_success,distance
-61.353575,100,161.976447,0.0,0.7979926466941833
-64.111049,100,335.726343,0.0,0.8169659972190857
-51.965798,100,516.920249,0.0,0.8309409022331238
-26.482217,100,692.896439,0.0,0.21091613173484802
-40.63888,100,873.311218,0.0,0.5674970746040344
-23.922304,100,1043.684908,0.0,0.19176174700260162
-22.143106,100,1222.862151,0.0,0.18549169600009918
-21.060937,100,1400.772258,0.0,0.27039945125579834
-60.931438,100,1583.769936,0.0,0.7478759288787842
-26.163224,100,1752.188777,0.0,0.2004382610321045
-33.225652,100,1973.725055,0.0,0.2380864918231964
-22.768918,100,2142.066265,0.0,0.19122928380966187
-31.607307,100,2317.348055,0.0,0.2723090946674347
-34.639609,100,2488.882057,0.0,0.24333511292934418
-24.041691,100,2657.897276,0.0,0.2993452548980713
-27.292597,100,2792.327433,0.0,0.3049950897693634
-25.854136,100,2932.145735,0.0,0.30537962913513184
-26.706006,100,3072.099613,0.0,0.30501589179039
-31.312589,100,3249.470376,0.0,0.1906084418296814
-22.085345,100,3418.78535,0.0,0.30514782667160034
-25.4729,100,3569.254767,0.0,0.2937707304954529
-23.069006,100,3735.156829,0.0,0.3050341308116913
-24.755121,100,3896.547537,0.0,0.2941340506076813
-23.37426,100,4054.802354,0.0,0.30514681339263916
-23.82646,100,4225.130455,0.0,0.2704049050807953
-23.068353,100,4404.353128,0.0,0.24427102506160736
-21.35739,100,4582.229461,0.0,0.20642255246639252
-24.493245,100,4737.58062,0.0,0.2069244086742401
-25.090166,100,4914.357289,0.0,0.1908397674560547
-26.292432,100,5081.953479,0.0,0.19586700201034546
-23.129422,100,5258.566051,0.0,0.19430407881736755
-22.060282,100,5431.212134,0.0,0.2937052249908447
-22.213284,100,5605.767576,0.0,0.2326563000679016
-21.91395,100,5779.945258,0.0,0.20165354013442993
-22.7836,100,5950.755951,0.0,0.20025789737701416
-23.898098,100,6110.534837,0.0,0.1976577490568161
-20.345001,100,6288.706327,0.0,0.2000044286251068
-21.166665,100,6460.841403,0.0,0.23191772401332855
-20.986609,100,6636.83117,0.0,0.21538713574409485
-22.324895,100,6813.886489,0.0,0.24227209389209747
-19.886543,100,6986.244735,0.0,0.1926961988210678
-20.873391,100,7162.700432,0.0,0.1874781996011734
-21.236418,100,7336.554345,0.0,0.2694609463214874
-20.880114,100,7513.754085,0.0,0.19923515617847443
-20.799331,100,7687.797459,0.0,0.19725024700164795
-20.577229,100,7857.035372,0.0,0.21161635220050812
-19.31162,100,8034.092966,0.0,0.18593791127204895
-20.367279,100,8210.549905,0.0,0.1855495721101761
-19.686159,100,8379.09443,0.0,0.18550999462604523
-19.490486,100,8560.374537,0.0,0.19320708513259888
-20.382823,100,8735.654252,0.0,0.18818476796150208
-19.708466,100,8904.569053,0.0,0.2125072181224823
-19.586971,100,9079.513278,0.0,0.18861733376979828
-20.319461,100,9257.518975,0.0,0.2004477083683014
-19.266783,100,9426.724951,0.0,0.2008165866136551
-19.722602,100,9601.882511,0.0,0.19624678790569305
-19.537535,100,9771.933612,0.0,0.2135745733976364
-19.602354,100,9947.586045,0.0,0.18818999826908112
-19.504064,100,10122.375987,0.0,0.18838103115558624
-19.529598,100,10298.533483,0.0,0.20021073520183563
-19.318356,100,10473.074036,0.0,0.1905975043773651
